"id" "setsize" "ss_lin" "ss_fac" "rsizeCorrect" "rsizeList" "rsizeNPL" "correct" "intrusion" "new"
"115" "3" 6 1 "6" 1 4 0 22 1 0
"116" "5" 6 1 "6" 1 4 0 22 1 0
"117" "6" 6 1 "6" 1 4 0 18 5 0
"118" "7" 6 1 "6" 1 4 0 20 3 0
"119" "8" 6 1 "6" 1 4 0 14 9 0
"120" "9" 6 1 "6" 1 4 0 20 3 0
"121" "1" 8 3 "8" 1 4 0 21 2 0
"122" "10" 8 3 "8" 1 4 0 21 2 0
"123" "11" 8 3 "8" 1 4 0 17 6 0
"124" "12" 8 3 "8" 1 4 0 21 2 0
"125" "13" 8 3 "8" 1 4 0 14 9 0
"126" "14" 8 3 "8" 1 4 0 16 7 0
"127" "15" 8 3 "8" 1 4 0 21 2 0
"128" "16" 8 3 "8" 1 4 0 17 6 0
"129" "17" 8 3 "8" 1 4 0 14 9 0
"130" "18" 8 3 "8" 1 4 0 13 10 0
"131" "19" 8 3 "8" 1 4 0 14 9 0
"132" "2" 8 3 "8" 1 4 0 19 4 0
"133" "20" 8 3 "8" 1 4 0 19 4 0
"134" "21" 8 3 "8" 1 4 0 20 3 0
"135" "3" 8 3 "8" 1 4 0 17 6 0
"136" "5" 8 3 "8" 1 4 0 20 3 0
"137" "6" 8 3 "8" 1 4 0 16 7 0
"138" "7" 8 3 "8" 1 4 0 18 5 0
"139" "8" 8 3 "8" 1 4 0 15 8 0
"140" "9" 8 3 "8" 1 4 0 20 3 0
"141" "1" 6 1 "6" 1 6 0 17 6 0
"142" "10" 6 1 "6" 1 6 0 23 0 0
"143" "11" 6 1 "6" 1 6 0 22 1 0
"144" "12" 6 1 "6" 1 6 0 18 5 0
"145" "13" 6 1 "6" 1 6 0 16 7 0
"146" "14" 6 1 "6" 1 6 0 12 11 0
"147" "15" 6 1 "6" 1 6 0 21 2 0
"148" "16" 6 1 "6" 1 6 0 21 2 0
"149" "17" 6 1 "6" 1 6 0 16 7 0
"150" "18" 6 1 "6" 1 6 0 20 3 0
"151" "19" 6 1 "6" 1 6 0 16 7 0
"152" "2" 6 1 "6" 1 6 0 19 4 0
"153" "20" 6 1 "6" 1 6 0 22 1 0
"154" "21" 6 1 "6" 1 6 0 20 3 0
"155" "3" 6 1 "6" 1 6 0 20 3 0
"156" "5" 6 1 "6" 1 6 0 21 2 0
"157" "6" 6 1 "6" 1 6 0 22 1 0
"158" "7" 6 1 "6" 1 6 0 20 3 0
"159" "8" 6 1 "6" 1 6 0 16 7 0
"160" "9" 6 1 "6" 1 6 0 18 5 0
"161" "1" 8 3 "8" 1 6 0 16 7 0
"162" "10" 8 3 "8" 1 6 0 19 4 0
"163" "11" 8 3 "8" 1 6 0 20 3 0
"164" "12" 8 3 "8" 1 6 0 18 5 0
"165" "13" 8 3 "8" 1 6 0 15 8 0
"166" "14" 8 3 "8" 1 6 0 15 8 0
"167" "15" 8 3 "8" 1 6 0 21 2 0
"168" "16" 8 3 "8" 1 6 0 18 5 0
"169" "17" 8 3 "8" 1 6 0 14 9 0
"170" "18" 8 3 "8" 1 6 0 15 8 0
"171" "19" 8 3 "8" 1 6 0 12 11 0
"172" "2" 8 3 "8" 1 6 0 18 5 0
"173" "20" 8 3 "8" 1 6 0 16 7 0
"174" "21" 8 3 "8" 1 6 0 20 3 0
"175" "3" 8 3 "8" 1 6 0 13 10 0
"176" "5" 8 3 "8" 1 6 0 19 4 0
"177" "6" 8 3 "8" 1 6 0 17 6 0
"178" "7" 8 3 "8" 1 6 0 16 7 0
"179" "8" 8 3 "8" 1 6 0 15 8 0
"180" "9" 8 3 "8" 1 6 0 18 5 0
"181" "1" 8 3 "8" 1 8 0 15 8 0
"182" "10" 8 3 "8" 1 8 0 17 6 0
"183" "11" 8 3 "8" 1 8 0 11 12 0
"184" "12" 8 3 "8" 1 8 0 15 8 0
"185" "13" 8 3 "8" 1 8 0 14 9 0
"186" "14" 8 3 "8" 1 8 0 14 9 0
"187" "15" 8 3 "8" 1 8 0 16 7 0
"188" "16" 8 3 "8" 1 8 0 14 9 0
"189" "17" 8 3 "8" 1 8 0 13 10 0
"190" "18" 8 3 "8" 1 8 0 13 10 0
"191" "19" 8 3 "8" 1 8 0 18 5 0
"192" "2" 8 3 "8" 1 8 0 17 6 0
"193" "20" 8 3 "8" 1 8 0 17 6 0
"194" "21" 8 3 "8" 1 8 0 19 4 0
"195" "3" 8 3 "8" 1 8 0 14 9 0
"196" "5" 8 3 "8" 1 8 0 18 5 0
"197" "6" 8 3 "8" 1 8 0 17 6 0
"198" "7" 8 3 "8" 1 8 0 16 7 0
"199" "8" 8 3 "8" 1 8 0 14 9 0
"200" "9" 8 3 "8" 1 8 0 13 10 0
"201" "1" 2 -3 "2" 1 1 1 23 0 0
"202" "10" 2 -3 "2" 1 1 1 23 0 0
"203" "11" 2 -3 "2" 1 1 1 23 0 0
"204" "12" 2 -3 "2" 1 1 1 23 0 0
"205" "13" 2 -3 "2" 1 1 1 23 0 0
"206" "14" 2 -3 "2" 1 1 1 23 0 0
"207" "15" 2 -3 "2" 1 1 1 23 0 0
"208" "16" 2 -3 "2" 1 1 1 23 0 0
"209" "17" 2 -3 "2" 1 1 1 23 0 0
"210" "18" 2 -3 "2" 1 1 1 23 0 0
"211" "19" 2 -3 "2" 1 1 1 23 0 0
"212" "2" 2 -3 "2" 1 1 1 23 0 0
"213" "20" 2 -3 "2" 1 1 1 23 0 0
"214" "21" 2 -3 "2" 1 1 1 23 0 0
"215" "3" 2 -3 "2" 1 1 1 23 0 0
"216" "5" 2 -3 "2" 1 1 1 23 0 0
"217" "6" 2 -3 "2" 1 1 1 23 0 0
"218" "7" 2 -3 "2" 1 1 1 23 0 0
"219" "8" 2 -3 "2" 1 1 1 23 0 0
"220" "9" 2 -3 "2" 1 1 1 23 0 0
"221" "1" 4 -1 "4" 1 1 1 22 0 1
"222" "10" 4 -1 "4" 1 1 1 23 0 0
"223" "11" 4 -1 "4" 1 1 1 23 0 0
"224" "12" 4 -1 "4" 1 1 1 23 0 0
"225" "13" 4 -1 "4" 1 1 1 23 0 0
"226" "14" 4 -1 "4" 1 1 1 23 0 0
"227" "15" 4 -1 "4" 1 1 1 23 0 0
"228" "16" 4 -1 "4" 1 1 1 23 0 0
"229" "17" 4 -1 "4" 1 1 1 23 0 0
"230" "18" 4 -1 "4" 1 1 1 23 0 0
"231" "19" 4 -1 "4" 1 1 1 23 0 0
"232" "2" 4 -1 "4" 1 1 1 23 0 0
"233" "20" 4 -1 "4" 1 1 1 23 0 0
"234" "21" 4 -1 "4" 1 1 1 23 0 0
"235" "3" 4 -1 "4" 1 1 1 23 0 0
"236" "5" 4 -1 "4" 1 1 1 23 0 0
"237" "6" 4 -1 "4" 1 1 1 23 0 0
"238" "7" 4 -1 "4" 1 1 1 23 0 0
"239" "8" 4 -1 "4" 1 1 1 22 0 1
"240" "9" 4 -1 "4" 1 1 1 23 0 0
"241" "1" 6 1 "6" 1 1 1 23 0 0
"242" "10" 6 1 "6" 1 1 1 23 0 0
"243" "11" 6 1 "6" 1 1 1 23 0 0
"244" "12" 6 1 "6" 1 1 1 23 0 0
"245" "13" 6 1 "6" 1 1 1 23 0 0
"246" "14" 6 1 "6" 1 1 1 23 0 0
"247" "15" 6 1 "6" 1 1 1 23 0 0
"248" "16" 6 1 "6" 1 1 1 23 0 0
"249" "17" 6 1 "6" 1 1 1 22 0 1
"250" "18" 6 1 "6" 1 1 1 23 0 0
"251" "19" 6 1 "6" 1 1 1 22 0 1
"252" "2" 6 1 "6" 1 1 1 23 0 0
"253" "20" 6 1 "6" 1 1 1 23 0 0
"254" "21" 6 1 "6" 1 1 1 23 0 0
"255" "3" 6 1 "6" 1 1 1 23 0 0
"256" "5" 6 1 "6" 1 1 1 23 0 0
"257" "6" 6 1 "6" 1 1 1 23 0 0
"258" "7" 6 1 "6" 1 1 1 23 0 0
"259" "8" 6 1 "6" 1 1 1 23 0 0
"260" "9" 6 1 "6" 1 1 1 23 0 0
"261" "1" 8 3 "8" 1 1 1 22 0 1
"262" "10" 8 3 "8" 1 1 1 23 0 0
"263" "11" 8 3 "8" 1 1 1 22 0 1
"264" "12" 8 3 "8" 1 1 1 23 0 0
"265" "13" 8 3 "8" 1 1 1 22 0 1
"266" "14" 8 3 "8" 1 1 1 23 0 0
"267" "15" 8 3 "8" 1 1 1 23 0 0
"268" "16" 8 3 "8" 1 1 1 22 0 1
"269" "17" 8 3 "8" 1 1 1 23 0 0
"270" "18" 8 3 "8" 1 1 1 22 0 1
"271" "19" 8 3 "8" 1 1 1 21 0 2
"272" "2" 8 3 "8" 1 1 1 23 0 0
"273" "20" 8 3 "8" 1 1 1 23 0 0
"274" "21" 8 3 "8" 1 1 1 23 0 0
"275" "3" 8 3 "8" 1 1 1 21 0 2
"276" "5" 8 3 "8" 1 1 1 23 0 0
"277" "6" 8 3 "8" 1 1 1 21 0 2
"278" "7" 8 3 "8" 1 1 1 23 0 0
"279" "8" 8 3 "8" 1 1 1 22 0 1
"280" "9" 8 3 "8" 1 1 1 20 0 3
"281" "1" 2 -3 "2" 1 2 2 23 0 0
"282" "10" 2 -3 "2" 1 2 2 23 0 0
"283" "11" 2 -3 "2" 1 2 2 23 0 0
"284" "12" 2 -3 "2" 1 2 2 23 0 0
"285" "13" 2 -3 "2" 1 2 2 23 0 0
"286" "14" 2 -3 "2" 1 2 2 23 0 0
"287" "15" 2 -3 "2" 1 2 2 23 0 0
"288" "16" 2 -3 "2" 1 2 2 23 0 0
"289" "17" 2 -3 "2" 1 2 2 23 0 0
"290" "18" 2 -3 "2" 1 2 2 22 1 0
"291" "19" 2 -3 "2" 1 2 2 23 0 0
"292" "2" 2 -3 "2" 1 2 2 23 0 0
"293" "20" 2 -3 "2" 1 2 2 23 0 0
"294" "21" 2 -3 "2" 1 2 2 22 1 0
"295" "3" 2 -3 "2" 1 2 2 23 0 0
"296" "5" 2 -3 "2" 1 2 2 23 0 0
"297" "6" 2 -3 "2" 1 2 2 23 0 0
"298" "7" 2 -3 "2" 1 2 2 23 0 0
"299" "8" 2 -3 "2" 1 2 2 23 0 0
"300" "9" 2 -3 "2" 1 2 2 23 0 0
"301" "1" 4 -1 "4" 1 2 2 23 0 0
"302" "10" 4 -1 "4" 1 2 2 22 1 0
"303" "11" 4 -1 "4" 1 2 2 23 0 0
"304" "12" 4 -1 "4" 1 2 2 23 0 0
"305" "13" 4 -1 "4" 1 2 2 23 0 0
"306" "14" 4 -1 "4" 1 2 2 22 1 0
"307" "15" 4 -1 "4" 1 2 2 23 0 0
"308" "16" 4 -1 "4" 1 2 2 22 1 0
"309" "17" 4 -1 "4" 1 2 2 23 0 0
"310" "18" 4 -1 "4" 1 2 2 21 2 0
"311" "19" 4 -1 "4" 1 2 2 23 0 0
"312" "2" 4 -1 "4" 1 2 2 23 0 0
"313" "20" 4 -1 "4" 1 2 2 23 0 0
"314" "21" 4 -1 "4" 1 2 2 23 0 0
"315" "3" 4 -1 "4" 1 2 2 23 0 0
"316" "5" 4 -1 "4" 1 2 2 22 1 0
"317" "6" 4 -1 "4" 1 2 2 23 0 0
"318" "7" 4 -1 "4" 1 2 2 23 0 0
"319" "8" 4 -1 "4" 1 2 2 21 2 0
"320" "9" 4 -1 "4" 1 2 2 23 0 0
"321" "1" 6 1 "6" 1 2 2 22 1 0
"322" "10" 6 1 "6" 1 2 2 20 3 0
"323" "11" 6 1 "6" 1 2 2 22 1 0
"324" "12" 6 1 "6" 1 2 2 22 1 0
"325" "13" 6 1 "6" 1 2 2 20 2 1
"326" "14" 6 1 "6" 1 2 2 18 5 0
"327" "15" 6 1 "6" 1 2 2 23 0 0
"328" "16" 6 1 "6" 1 2 2 19 3 1
"329" "17" 6 1 "6" 1 2 2 22 1 0
"330" "18" 6 1 "6" 1 2 2 21 1 1
"331" "19" 6 1 "6" 1 2 2 21 0 2
"332" "2" 6 1 "6" 1 2 2 23 0 0
"333" "20" 6 1 "6" 1 2 2 22 1 0
"334" "21" 6 1 "6" 1 2 2 22 1 0
"335" "3" 6 1 "6" 1 2 2 22 1 0
"336" "5" 6 1 "6" 1 2 2 23 0 0
"337" "6" 6 1 "6" 1 2 2 21 1 1
"338" "7" 6 1 "6" 1 2 2 22 1 0
"339" "8" 6 1 "6" 1 2 2 22 1 0
"340" "9" 6 1 "6" 1 2 2 22 0 1
"341" "1" 8 3 "8" 1 2 2 17 3 3
"342" "10" 8 3 "8" 1 2 2 21 2 0
"343" "11" 8 3 "8" 1 2 2 19 1 3
"344" "12" 8 3 "8" 1 2 2 19 4 0
"345" "13" 8 3 "8" 1 2 2 16 7 0
"346" "14" 8 3 "8" 1 2 2 17 6 0
"347" "15" 8 3 "8" 1 2 2 21 2 0
"348" "16" 8 3 "8" 1 2 2 17 4 2
"349" "17" 8 3 "8" 1 2 2 19 3 1
"350" "18" 8 3 "8" 1 2 2 18 3 2
"351" "19" 8 3 "8" 1 2 2 18 5 0
"352" "2" 8 3 "8" 1 2 2 22 1 0
