"id" "isAdaptive" "prop_correct" "K" "dprime" "crit"
"1" "0rjs8zk3f8a1c51" "no" 0.666666666666667 2.66666666666667 0.970784048898686 0.490962338310262
"2" "1ntjctjk7c30h8e" "yes" 0.64 2.24 0.720174358872897 0.0952191283710611
"3" "1o34yg68q5f0082" "no" 0.7 3.2 1.59971685575539 0.950827643374473
"4" "1p2orrruwowkyfk" "yes" 0.86 5.76 2.20124694379338 0.193694661197555
"5" "1sj18cefeen6xdq" "no" 0.626666666666667 2.02666666666667 0.756207502733534 0.562970778986209
"6" "1t9ccets6d4jmh1" "no" 0.711111111111111 3.37777777777778 1.13219187991528 0.183773513783013
"7" "21weeb0hv6zeujm" "no" 0.755555555555556 4.08888888888889 1.84099846573412 0.780788933985199
"8" "23t9f3rusdx1z99" "no" 0.737777777777778 3.80444444444444 1.27408638132178 -0.040947212970178
"9" "26sx4b6ee6qtbfj" "yes" 0.564444444444444 1.03111111111111 0.336949576274829 -0.274508562004403
"10" "2y7ushulzewzv24" "no" 0.58 1.28 1.27528824887142 1.57871865478869
"11" "3bcz3k1qlzhzjdl" "no" 0.591111111111111 1.45777777777778 0.60785392374141 0.746910312012523
"12" "3nwqd7fq0a2eg9y" "no" 0.675555555555556 2.80888888888889 1.01535624381763 0.468676240850792
"13" "3xuwa5sawxt088f" "yes" 0.846666666666667 5.54666666666667 2.0467429273108 -0.0470171008957959
"14" "41a66w99foo7th8" "yes" 0.746666666666667 3.94666666666667 1.32820199365015 0.0138894068059936
"15" "47x15mmzl4ubu2r" "no" 0.722222222222222 3.55555555555556 1.3862345646978 0.575873239810927
"16" "4ava7eonw7c3sxe" "no" 0.733333333333333 3.73333333333333 1.24596542807559 0.0135267039331015
"17" "4fme5xqdb4yp4tj" "yes" 0.697777777777778 3.16444444444444 1.2373519818461 -0.6019643579243
"18" "4qxqadc5ohcffy8" "yes" 0.677777777777778 2.84444444444444 0.923146888603934 0.018590094160149
"19" "5tah78prgcqqvgh" "yes" 0.722222222222222 3.55555555555556 1.26624044058049 -0.379773117154446
"20" "5x16orfkpn5jcso" "no" 0.695555555555556 3.12888888888889 1.21421321550784 0.59039497475517
"21" "69peuufxjg8xj2s" "no" 0.697777777777778 3.16444444444444 1.29264937688182 0.67417971542637
"22" "7ahoqy9459855lg" "yes" 0.686666666666667 2.98666666666667 1.10099085734796 -0.500341845209247
"23" "7do8nlbemo37n1b" "no" 0.648888888888889 2.38222222222222 0.836050919711995 0.423595773716917
"24" "7ftdjd8m4m2zvgy" "yes" 0.726666666666667 3.62666666666667 1.22563590722764 -0.182090654318364
"25" "7r1pebvf25e6dd9" "yes" 0.648888888888889 2.38222222222222 0.795234446169043 -0.280373180546548
"26" "7yow4a49wwppbll" "yes" 0.651111111111111 2.41777777777778 0.939388602202763 -0.620663516598159
"27" "8033zjyzav54sww" "no" 0.715555555555556 3.44888888888889 1.43292658729509 0.688608266662087
"28" "8phdpox7ufgaxdn" "no" 0.582222222222222 1.31555555555556 0.447208707453335 0.385851656378025
"29" "8r81pp6992f8z50" "yes" 0.586666666666667 1.38666666666667 0.44284135343096 -0.14894356809128
"30" "8ypkl15c92mhv3p" "yes" 0.824444444444445 5.19111111111111 1.87668779894421 0.112493374411121
"31" "9mp0k5snp12h0nn" "yes" 0.817777777777778 5.08444444444444 1.91724385630433 -0.33569620494208
"32" "a34smzegq9x24bs" "yes" 0.730694444444444 3.69111111111111 1.2694689851935 -0.252412066422124
"33" "a3bxwrasyaa9j9r" "yes" 0.748888888888889 3.98222222222222 1.37462760981365 -0.219615005792314
"34" "awyc6dvpuqrqgwy" "yes" 0.753333333333333 4.05333333333333 1.3777501152034 -0.106033550330485
"35" "b0eqkddredhvldl" "no" 0.584444444444444 1.35111111111111 0.427115353716745 -0.0513103742070151
"36" "bltg0rzgdfthgtu" "yes" 0.78 4.48 1.55714040071822 -0.128358610340027
"37" "bn883prnzzt218u" "yes" 0.802222222222222 4.83555555555556 1.71154693469819 -0.120580895410512
"38" "c2cy6lxf3ymd09u" "yes" 0.56 0.96 0.304729145562389 0.135652939782446
"39" "cgr1t9v0mqgqwgm" "no" 0.624444444444444 1.99111111111111 0.641244864504077 0.14707636686247
"40" "d6k7huejw8ec9o5" "no" 0.648888888888889 2.38222222222222 1.09374918066549 0.858196969976887
"41" "dd287bs645fn2ys" "yes" 0.571111111111111 1.13777777777778 0.359103728337065 -0.062307821630559
"42" "dptoo4ha6hpvtjx" "no" 0.642222222222222 2.27555555555556 0.812497576353719 0.467560314856112
"43" "e5zt0hm2s0p84fk" "yes" 0.762222222222222 4.19555555555556 1.43141802590308 -0.0791995949806453
"44" "emh6dmt8b2tn72e" "no" 0.773333333333333 4.37333333333333 1.5003926298543 -0.029523937186613
"45" "es25vzakyfyxul9" "no" 0.612609126984127 1.80174603174603 0.579751900512983 0.161406885116302
"46" "ezoboudso8ta2u6" "yes" 0.715555555555556 3.44888888888889 1.16527285273895 -0.212272181562713
"47" "fjv0p9xmf10wost" "no" 0.604444444444444 1.67111111111111 0.848437939242422 0.980852590688422
"48" "fkkzyt8oqfj01eo" "no" 0.671111111111111 2.73777777777778 0.980076411410998 0.451036324647477
"49" "g32lp3vjptqx0fa" "no" 0.862222222222222 5.79555555555556 2.37806806843869 0.424324360432958
"50" "gcu08by4s8fjchz" "no" 0.628888888888889 2.06222222222222 0.825489766634153 0.677612934382464
"51" "ggymjnex9gu75a3" "yes" 0.662222222222222 2.59555555555556 0.851315695903784 0.1837981621528
"52" "greupzw86kaferq" "yes" 0.613333333333333 1.81333333333333 0.576073866701458 -0.0116126690111911
"53" "gyds7536l7cawp9" "no" 0.635555555555556 2.16888888888889 1.64667412826674 1.39302571509103
"54" "hqa0fetcx3rtldp" "no" 0.651111111111111 2.41777777777778 0.922368208743038 0.589653169511708
"55" "hqbt6pzhggv9cx3" "yes" 0.76 4.16 1.4339196675692 0.17328705348578
"56" "hr7nk02s3n63a7y" "yes" 0.717777777777778 3.48444444444444 1.18430931831218 0.233695865904896
"57" "hrm4lf3lldbu1m7" "no" 0.702222222222222 3.23555555555556 1.34792777042191 0.701818912196412
"58" "j774oylfrm0stus" "no" 0.737777777777778 3.80444444444444 1.56408692051357 0.653574395116597
"59" "ju85tyecrlyhw9v" "no" 0.668888888888889 2.70222222222222 1.14695833847771 0.747025234628425
"60" "ka5bdnrbgver14p" "yes" 0.631111111111111 2.09777777777778 0.670339938738268 -0.047152456805494
