"id" "setsize" "setsize_lin" "n_IIP" "n_IOP" "n_NPL" "IIP" "IOP" "NPL" "total"
"121" 1 "8" 3 1 4 0 20 3 0 23
"122" 10 "8" 3 1 4 0 19 4 0 23
"123" 11 "8" 3 1 4 0 17 6 0 23
"124" 12 "8" 3 1 4 0 13 10 0 23
"125" 13 "8" 3 1 4 0 15 8 0 23
"126" 14 "8" 3 1 4 0 13 10 0 23
"127" 15 "8" 3 1 4 0 19 4 0 23
"128" 16 "8" 3 1 4 0 12 11 0 23
"129" 17 "8" 3 1 4 0 21 2 0 23
"130" 18 "8" 3 1 4 0 22 1 0 23
"131" 19 "8" 3 1 4 0 19 4 0 23
"132" 2 "8" 3 1 4 0 16 7 0 23
"133" 20 "8" 3 1 4 0 17 6 0 23
"134" 3 "8" 3 1 4 0 17 6 0 23
"135" 4 "8" 3 1 4 0 16 7 0 23
"136" 5 "8" 3 1 4 0 12 11 0 23
"137" 6 "8" 3 1 4 0 6 17 0 23
"138" 7 "8" 3 1 4 0 12 11 0 23
"139" 8 "8" 3 1 4 0 22 1 0 23
"140" 9 "8" 3 1 4 0 10 13 0 23
"141" 1 "6" 1 1 6 0 20 3 0 23
"142" 10 "6" 1 1 6 0 21 2 0 23
"143" 11 "6" 1 1 6 0 21 2 0 23
"144" 12 "6" 1 1 6 0 19 4 0 23
"145" 13 "6" 1 1 6 0 20 3 0 23
"146" 14 "6" 1 1 6 0 15 8 0 23
"147" 15 "6" 1 1 6 0 19 4 0 23
"148" 16 "6" 1 1 6 0 8 15 0 23
"149" 17 "6" 1 1 6 0 22 1 0 23
"150" 18 "6" 1 1 6 0 20 3 0 23
"151" 19 "6" 1 1 6 0 22 1 0 23
"152" 2 "6" 1 1 6 0 22 1 0 23
"153" 20 "6" 1 1 6 0 17 6 0 23
"154" 3 "6" 1 1 6 0 19 4 0 23
"155" 4 "6" 1 1 6 0 19 4 0 23
"156" 5 "6" 1 1 6 0 19 4 0 23
"157" 6 "6" 1 1 6 0 14 9 0 23
"158" 7 "6" 1 1 6 0 15 8 0 23
"159" 8 "6" 1 1 6 0 21 2 0 23
"160" 9 "6" 1 1 6 0 11 12 0 23
"161" 1 "8" 3 1 6 0 14 9 0 23
"162" 10 "8" 3 1 6 0 19 4 0 23
"163" 11 "8" 3 1 6 0 20 3 0 23
"164" 12 "8" 3 1 6 0 12 11 0 23
"165" 13 "8" 3 1 6 0 17 6 0 23
"166" 14 "8" 3 1 6 0 14 9 0 23
"167" 15 "8" 3 1 6 0 19 4 0 23
"168" 16 "8" 3 1 6 0 9 14 0 23
"169" 17 "8" 3 1 6 0 20 3 0 23
"170" 18 "8" 3 1 6 0 21 2 0 23
"171" 19 "8" 3 1 6 0 16 7 0 23
"172" 2 "8" 3 1 6 0 17 6 0 23
"173" 20 "8" 3 1 6 0 18 5 0 23
"174" 3 "8" 3 1 6 0 17 6 0 23
"175" 4 "8" 3 1 6 0 9 14 0 23
"176" 5 "8" 3 1 6 0 13 10 0 23
"177" 6 "8" 3 1 6 0 8 15 0 23
"178" 7 "8" 3 1 6 0 13 10 0 23
"179" 8 "8" 3 1 6 0 17 6 0 23
"180" 9 "8" 3 1 6 0 13 10 0 23
"181" 1 "8" 3 1 8 0 12 11 0 23
"182" 10 "8" 3 1 8 0 15 8 0 23
"183" 11 "8" 3 1 8 0 17 6 0 23
"184" 12 "8" 3 1 8 0 10 13 0 23
"185" 13 "8" 3 1 8 0 17 6 0 23
"186" 14 "8" 3 1 8 0 8 15 0 23
"187" 15 "8" 3 1 8 0 18 5 0 23
"188" 16 "8" 3 1 8 0 8 15 0 23
"189" 17 "8" 3 1 8 0 21 2 0 23
"190" 18 "8" 3 1 8 0 16 7 0 23
"191" 19 "8" 3 1 8 0 16 7 0 23
"192" 2 "8" 3 1 8 0 20 3 0 23
"193" 20 "8" 3 1 8 0 12 11 0 23
"194" 3 "8" 3 1 8 0 13 10 0 23
"195" 4 "8" 3 1 8 0 15 8 0 23
"196" 5 "8" 3 1 8 0 14 9 0 23
"197" 6 "8" 3 1 8 0 8 15 0 23
"198" 7 "8" 3 1 8 0 6 17 0 23
"199" 8 "8" 3 1 8 0 14 9 0 23
"200" 9 "8" 3 1 8 0 12 11 0 23
"201" 1 "2" -3 1 1 1 23 0 0 23
"202" 10 "2" -3 1 1 1 23 0 0 23
"203" 11 "2" -3 1 1 1 23 0 0 23
"204" 12 "2" -3 1 1 1 23 0 0 23
"205" 13 "2" -3 1 1 1 23 0 0 23
"206" 14 "2" -3 1 1 1 23 0 0 23
"207" 15 "2" -3 1 1 1 23 0 0 23
"208" 16 "2" -3 1 1 1 23 0 0 23
"209" 17 "2" -3 1 1 1 22 0 1 23
"210" 18 "2" -3 1 1 1 23 0 0 23
"211" 19 "2" -3 1 1 1 23 0 0 23
"212" 2 "2" -3 1 1 1 23 0 0 23
"213" 20 "2" -3 1 1 1 23 0 0 23
"214" 3 "2" -3 1 1 1 23 0 0 23
"215" 4 "2" -3 1 1 1 23 0 0 23
"216" 5 "2" -3 1 1 1 23 0 0 23
"217" 6 "2" -3 1 1 1 21 0 2 23
"218" 7 "2" -3 1 1 1 23 0 0 23
"219" 8 "2" -3 1 1 1 23 0 0 23
"220" 9 "2" -3 1 1 1 23 0 0 23
"221" 1 "4" -1 1 1 1 23 0 0 23
"222" 10 "4" -1 1 1 1 23 0 0 23
"223" 11 "4" -1 1 1 1 23 0 0 23
"224" 12 "4" -1 1 1 1 23 0 0 23
"225" 13 "4" -1 1 1 1 23 0 0 23
"226" 14 "4" -1 1 1 1 23 0 0 23
"227" 15 "4" -1 1 1 1 23 0 0 23
"228" 16 "4" -1 1 1 1 23 0 0 23
"229" 17 "4" -1 1 1 1 23 0 0 23
"230" 18 "4" -1 1 1 1 23 0 0 23
"231" 19 "4" -1 1 1 1 22 0 1 23
"232" 2 "4" -1 1 1 1 23 0 0 23
"233" 20 "4" -1 1 1 1 23 0 0 23
"234" 3 "4" -1 1 1 1 23 0 0 23
"235" 4 "4" -1 1 1 1 23 0 0 23
"236" 5 "4" -1 1 1 1 23 0 0 23
"237" 6 "4" -1 1 1 1 21 0 2 23
"238" 7 "4" -1 1 1 1 23 0 0 23
"239" 8 "4" -1 1 1 1 23 0 0 23
"240" 9 "4" -1 1 1 1 23 0 0 23
"241" 1 "6" 1 1 1 1 21 0 2 23
"242" 10 "6" 1 1 1 1 22 0 1 23
"243" 11 "6" 1 1 1 1 21 0 2 23
"244" 12 "6" 1 1 1 1 21 0 2 23
"245" 13 "6" 1 1 1 1 22 0 1 23
"246" 14 "6" 1 1 1 1 20 0 3 23
"247" 15 "6" 1 1 1 1 22 0 1 23
"248" 16 "6" 1 1 1 1 22 0 1 23
"249" 17 "6" 1 1 1 1 22 0 1 23
"250" 18 "6" 1 1 1 1 23 0 0 23
"251" 19 "6" 1 1 1 1 22 0 1 23
"252" 2 "6" 1 1 1 1 23 0 0 23
"253" 20 "6" 1 1 1 1 22 0 1 23
"254" 3 "6" 1 1 1 1 22 0 1 23
"255" 4 "6" 1 1 1 1 22 0 1 23
"256" 5 "6" 1 1 1 1 23 0 0 23
"257" 6 "6" 1 1 1 1 18 0 5 23
"258" 7 "6" 1 1 1 1 18 0 5 23
"259" 8 "6" 1 1 1 1 20 0 3 23
"260" 9 "6" 1 1 1 1 23 0 0 23
